"","YEAR","AGE","WT","Selectivity","MAT"
"33",2000,1,0,1.87644293206459e-10,0
"86",2000,2,19.0857142857143,0.0778863386689752,0.00187908349787828
"139",2000,3,55.7132515337423,0.859366455186485,0.0421831326651635
"192",2000,4,105.476126126126,0.985003280909129,0.507453936969413
"245",2000,5,142.523188405797,0.991149968400783,0.960161666502363
"298",2000,6,184.211148648649,0.998743378830751,0.998229508779649
"351",2000,7,212.393989071038,1,0.999924188162772
"404",2000,8,237.594505494506,0.999323233660135,0.999996759029234
"457",2000,9,244.020689655172,0.998890513040327,0.999999861457495
"510",2000,10,261.72,0.997888792684347,0.99999999407771
"563",2000,11,269.4,0.998196560798788,0.999999999746839
"616",2000,12,287,0.997192474886565,0.999999999989178
"34",2001,1,0,1.85781670108569e-10,0
"87",2001,2,19.9967741935484,0.0929493784553953,0.00350712199097005
"140",2001,3,51.5547697368421,0.769412862378055,0.0718850343912117
"193",2001,4,109.755691768827,0.97330925525656,0.630245746695093
"246",2001,5,160.6625,0.990017347399131,0.974033284661847
"299",2001,6,191.338636363636,1,0.998790077918817
"352",2001,7,231.703821656051,0.997735879442373,0.999944957361718
"405",2001,8,254.140703517588,0.99438459660742,0.999997498721642
"458",2001,9,267.992647058824,0.990950754378009,0.999999886341211
"511",2001,10,277.502702702703,0.989922273247605,0.999999994835324
"564",2001,11,303.9,0.983353424092765,0.999999999765316
"617",2001,12,291.733333333333,0.985850246451206,0.999999999989336
"35",2002,1,0,1.89943846417494e-10,0
"88",2002,2,19.8245810055866,0.0962281591518881,0.000680648878758466
"141",2002,3,44.4752642706131,0.680579540109099,0.0290266221387938
"194",2002,4,111.1896882494,0.995741154629456,0.567488563189048
"247",2002,5,157.863961813842,0.998235254605572,0.982931575778057
"300",2002,6,193.843575418994,1,0.999604516826057
"353",2002,7,233.509929078014,0.999386976506671,0.999990985834125
"406",2002,8,257.410752688172,0.998797055761593,0.999999794619583
"459",2002,9,262.343181818182,0.998593671702175,0.999999995320615
"512",2002,10,279.953333333333,0.998272285981392,0.999999999893385
"565",2002,11,269.515384615385,0.998241792297654,0.999999999997571
"618",2002,12,292.433333333333,0.997933669135167,0.999999999999945
"36",2003,1,0,1.8764124607283e-10,0
"89",2003,2,17.8222222222222,0.0502222660732341,6.81086805719717e-05
"142",2003,3,44.2094286855773,0.619379201886432,0.0121792767645218
"195",2003,4,100.526018237082,0.984851365139275,0.690574622952861
"248",2003,5,154.478428093645,0.993532345623301,0.997530777086686
"301",2003,6,184.94656212304,0.99880780440276,0.999986325333733
"354",2003,7,214.393684210526,1,0.999999924454026
"407",2003,8,238.756218905473,0.999614317070049,0.99999999958265
"460",2003,9,257.409756097561,0.999133124907228,0.999999999997694
"513",2003,10,265.502325581395,0.998830589600382,0.999999999999987
"566",2003,11,260.62,0.998804282877504,1
"619",2003,12,270.02,0.999146769728759,1
"37",2004,1,0,1.88510512471581e-10,0
"90",2004,2,12.1333333333333,0.010598568685495,0.000198949624289845
"143",2004,3,37.8882474226804,0.469525915541966,0.0213232278628496
"196",2004,4,101.631818181818,0.989071997643153,0.704631462931334
"249",2004,5,148.222235023041,0.994317800669284,0.996186194092538
"302",2004,6,190.837931034483,0.999443739636305,0.999965036190017
"355",2004,7,209.928152492669,1,0.999999680662688
"408",2004,8,232.547297297297,0.999688524204922,0.999999997083475
"461",2004,9,257.603225806452,0.999136417334968,0.999999999973363
"514",2004,10,248.8,0.99906114196828,0.999999999999757
"567",2004,11,271.483333333333,0.998904544757185,0.999999999999998
"620",2004,12,274.888888888889,0.998850068836247,1
"38",2005,1,0,1.82146988201128e-10,0
"91",2005,2,21.2970588235294,0.0914710392016384,0.000164652937622988
"144",2005,3,36.9282771535581,0.400806468889558,0.0112486154493408
"197",2005,4,86.4222588623248,0.956009354212312,0.440067110365147
"250",2005,5,135.592866161616,0.972443564736492,0.981914939494657
"303",2005,6,168.242926045016,0.989486070355465,0.99973346186244
"356",2005,7,209.337931034483,1,0.999996140753793
"409",2005,8,231.830555555556,0.999318602239011,0.999999944135853
"462",2005,9,242.338775510204,0.998521974801069,0.999999999191347
"515",2005,10,251.033333333333,0.997113109267494,0.999999999988294
"568",2005,11,263.175,0.995841881866729,0.999999999999831
"621",2005,12,258.2,0.994949045245584,0.999999999999998
"39",2006,1,0,1.89052980774673e-10,0
